pool,poolSym,liquidity,tick0,tickSpacing,token0,token1,fee
0X3c013ddfe479ca69b6bf82c200cc69d3bf57450d,NA,NA,NA,000c8,0x36c37caf28eb712e4314da4e982fdffe6af42089,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X344b8f0414178c0abca7b3b86b1aec021efccdd9,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf12e9ad07b7d5359f39501463be268725640100d,10000
0Xeed88ed4ef2d07f1e769a8df6393f45f263fd247,NA,NA,NA,000c8,0x47c49d85585ca1caf1d29a2e19159eaf715b7c80,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X7373ae796180aba32fb08acacf4b17706184be1b,NA,NA,NA,000c8,0x159921fa4d53837ba31794ca97aaf23484892ef9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X717965e6d00d8c92a687e1268961508343e5a11b,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf645842ae8356ba2cf0a22cae8c7b3d89505c919,10000
0Xaefc8068fc441ca1463012bc63f91e0e2df50a90,NA,NA,NA,000c8,0x92715b8f93729c0b014213f769ef493baecedacc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X352d38716dc67a46afbb0c8e32695c78e85d850a,NA,NA,NA,000c8,0x793687c35e3af3decd8594c64c46110e8d5547f3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X5e7899f2e95c1d8dde99d58f7a706473db00a319,NA,NA,NA,000c8,0xaeea4c228f08d76dda9c62b70cbfcde90a7c6c75,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xdf4063dd64ca25d259c0c809713f611d756acc12,NA,NA,NA,000c8,0xbcf9c470c1e87dd0d17d5613f7ca13bb24ca918f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X3e5ddce6338de0bbb8ad1e634bfe07786bb1d075,NA,NA,NA,000c8,0x6bf8e2f3457d93140e0fb821be1cd01a23491419,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X9274fe34206975e429234f07a940643585a6b11a,NA,NA,NA,000c8,0x5b121bb647449d1b08d2c66300c47f39fc11ae51,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xa0cb1e765900627e07e273d1b5bc753b25bff335,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd1b584568a95cb1deff05852a5f8d5bc3eb8ece4,10000
0Xcd5bf64cfc3425ec472a96f1848f8136a9732232,NA,NA,NA,0003c,0x8a13e06230a7832190a6848b33c27ea916e7fe18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000
0Xe18525e322de84bd0bb3dea42cb1001190964a7a,NA,NA,NA,000c8,0x8e0ab1758bdb5a1ef74f6849447a9d845d1e807c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X0738d8627bb72fdc96b0e327ed32504762fe38f9,NA,NA,NA,000c8,0x860aecb38ba326a7cebed7c9e8818103a20e0503,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
